plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_41_746_11_2022_3_本科批,41_746,41,746,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5800,,物理必选
plan_41_799_11_2022_3_本科批,41_799,41,799,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5000,,物理必选
plan_41_746_11_2022_3_本科批,41_746,41,746,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5800,,物理必选
plan_41_799_11_2022_3_本科批,41_799,41,799,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5000,,物理必选
plan_41_801_11_2022_3_本科批,41_801,41,801,北京,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,5800,,化学必选
plan_41_801_11_2022_3_本科批,41_801,41,801,北京,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,5800,,化学必选
plan_41_761_13_2022_2074_本科批,41_761,41,761,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,19,四年,5000,（地方专项计划）,
plan_41_761_13_2022_2074_本科批,41_761,41,761,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,17,四年,5000,,
plan_41_762_13_2022_2074_本科批,41_762,41,762,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,13,四年,5300,,
plan_41_769_13_2022_2074_本科批,41_769,41,769,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,13,四年,5000,,
plan_41_744_13_2022_2074_本科批,41_744,41,744,河北,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,12,四年,5000,,
plan_41_744_13_2022_2074_本科批,41_744,41,744,河北,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,10,四年,5000,（地方专项计划）,
plan_41_762_13_2022_2074_本科批,41_762,41,762,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,9,四年,5300,（地方专项计划）,
plan_41_763_13_2022_2074_本科批,41_763,41,763,河北,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,9,四年,5300,,
plan_41_769_13_2022_2074_本科批,41_769,41,769,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,6,四年,5000,（地方专项计划）,
plan_41_763_13_2022_2074_本科批,41_763,41,763,河北,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5300,（地方专项计划）,
plan_41_794_13_2022_2073_本科批,41_794,41,794,河北,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,物理类,96,四年,5800,,
plan_41_787_13_2022_2073_本科批,41_787,41,787,河北,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,93,四年,5800,,
plan_41_748_13_2022_2073_本科批,41_748,41,748,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,91,四年,5800,,
plan_41_100236_13_2022_2073_本科批,41_100236,41,100236,河北,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,91,四年,5800,,
plan_41_783_13_2022_2073_本科批,41_783,41,783,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,90,四年,5800,,
plan_41_786_13_2022_2073_本科批,41_786,41,786,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,87,四年,5800,,
plan_41_785_13_2022_2073_本科批,41_785,41,785,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,76,四年,5800,,
plan_41_800_13_2022_2073_本科批,41_800,41,800,河北,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,74,四年,5800,,
plan_41_796_13_2022_2073_本科批,41_796,41,796,河北,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,物理类,72,四年,5800,,
plan_41_772_13_2022_2073_本科批,41_772,41,772,河北,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,66,四年,5300,,
plan_41_792_13_2022_2073_本科批,41_792,41,792,河北,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,64,四年,5800,,
plan_41_801_13_2022_2073_本科批,41_801,41,801,河北,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,60,四年,5800,,
plan_41_745_13_2022_2073_本科批,41_745,41,745,河北,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批,物理类,58,四年,5800,,
plan_41_169122_13_2022_2073_本科批,41_169122,41,169122,河北,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,50,四年,5800,,
plan_41_742_13_2022_2073_本科批,41_742,41,742,河北,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,46,四年,5300,,
plan_41_751_13_2022_2073_本科批,41_751,41,751,河北,2022,海洋技术,本科 (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,46,四年,5300,,
plan_41_791_13_2022_2073_本科批,41_791,41,791,河北,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,46,四年,5300,,
plan_41_1129792_13_2022_2073_本科批,41_1129792,41,1129792,河北,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,45,四年,5800,,
plan_41_1469431_13_2022_2073_本科批,41_1469431,41,1469431,河北,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,45,四年,5800,,
plan_41_797_13_2022_2073_本科批,41_797,41,797,河北,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,41,四年,5300,,
plan_41_779_13_2022_2073_本科批,41_779,41,779,河北,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,40,四年,5000,,
plan_41_750_13_2022_2073_本科批,41_750,41,750,河北,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,39,四年,5800,,
plan_41_799_13_2022_2073_本科批,41_799,41,799,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,39,四年,5000,,
plan_41_765_13_2022_2073_本科批,41_765,41,765,河北,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,38,四年,5800,,
plan_41_780_13_2022_2073_本科批,41_780,41,780,河北,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科批,物理类,38,四年,5500,,
plan_41_781_13_2022_2073_本科批,41_781,41,781,河北,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,38,四年,5000,,
plan_41_778_13_2022_2073_本科批,41_778,41,778,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,37,四年,5000,,
plan_41_782_13_2022_2073_本科批,41_782,41,782,河北,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,36,四年,5300,,
plan_41_1129791_13_2022_2073_本科批,41_1129791,41,1129791,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,36,四年,5800,,
plan_41_757_13_2022_2073_本科批,41_757,41,757,河北,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,33,四年,5800,,
plan_41_1469427_13_2022_2073_本科批,41_1469427,41,1469427,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,26,四年,5800,,
plan_41_324203_13_2022_2073_本科批,41_324203,41,324203,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,21,四年,5800,,
plan_41_169123_13_2022_2073_本科批,41_169123,41,169123,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,19,四年,5800,,
plan_41_757_13_2022_2073_本科批,41_757,41,757,河北,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,9,四年,5800,（地方专项计划）,
plan_41_786_13_2022_2073_本科批,41_786,41,786,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,5800,（地方专项计划）,
plan_41_801_13_2022_2073_本科批,41_801,41,801,河北,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,6,四年,5800,（地方专项计划）,
plan_41_783_13_2022_2073_本科批,41_783,41,783,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,4,四年,5800,（地方专项计划）,
plan_41_792_13_2022_2073_本科批,41_792,41,792,河北,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,4,四年,5800,（地方专项计划）,
plan_41_791_13_2022_2073_本科批,41_791,41,791,河北,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,3,四年,5300,（地方专项计划）,
plan_41_797_13_2022_2073_本科批,41_797,41,797,河北,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,3,四年,5300,（地方专项计划）,
plan_41_742_13_2022_2073_本科批,41_742,41,742,河北,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,2,四年,5300,（地方专项计划）,
plan_41_744_13_2022_2073_本科批,41_744,41,744,河北,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,物理类,2,四年,5000,,
plan_41_761_13_2022_2073_本科批,41_761,41,761,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,物理类,2,四年,5000,,
plan_41_761_13_2022_2073_本科批,41_761,41,761,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,物理类,2,四年,5000,（地方专项计划）,
plan_41_762_13_2022_2073_本科批,41_762,41,762,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,2,四年,5300,,
plan_41_763_13_2022_2073_本科批,41_763,41,763,河北,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,2,四年,5300,,
plan_41_769_13_2022_2073_本科批,41_769,41,769,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,5000,,
plan_41_769_13_2022_2073_本科批,41_769,41,769,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,5000,（地方专项计划）,
plan_41_772_13_2022_2073_本科批,41_772,41,772,河北,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,2,四年,5300,（地方专项计划）,
plan_41_780_13_2022_2073_本科批,41_780,41,780,河北,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科批,物理类,2,四年,5500,（地方专项计划）,
plan_41_781_13_2022_2073_本科批,41_781,41,781,河北,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,2,四年,5000,（地方专项计划）,
plan_41_801_13_2022_2073_本科提前批B段,41_801,41,801,河北,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科提前批B段,物理类,11,4,5800,（国家专项计划）,
plan_41_785_13_2022_2073_本科提前批B段,41_785,41,785,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科提前批B段,物理类,10,4,5800,（国家专项计划）,
plan_41_792_13_2022_2073_本科提前批B段,41_792,41,792,河北,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科提前批B段,物理类,4,4,5800,（国家专项计划）,
plan_41_1129792_13_2022_2073_本科提前批B段,41_1129792,41,1129792,河北,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,物理类,4,4,5800,（国家专项计划）,
plan_41_742_13_2022_2073_本科提前批B段,41_742,41,742,河北,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,物理类,2,4,5300,（国家专项计划）,
plan_41_747_13_2022_2073_本科提前批B段,41_747,41,747,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批B段,物理类,2,4,5300,（国家专项计划）（入学后专业课教学为英语教学，非英语语种考生不宜就读）,
plan_41_762_13_2022_2073_本科提前批B段,41_762,41,762,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批B段,物理类,2,4,5300,（国家专项计划）,
plan_41_769_13_2022_2073_本科提前批B段,41_769,41,769,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科提前批B段,物理类,2,4,5000,（国家专项计划）,
plan_41_772_13_2022_2073_本科提前批B段,41_772,41,772,河北,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,物理类,2,4,5300,（国家专项计划）,
plan_41_783_13_2022_2073_本科提前批B段,41_783,41,783,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,物理类,2,4,5800,（国家专项计划）,
plan_41_761_13_2022_2074_本科提前批B段,41_761,41,761,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批B段,历史类,15,4,5000,（国家专项计划）,
plan_41_744_13_2022_2074_本科提前批B段,41_744,41,744,河北,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科提前批B段,历史类,12,4,5000,（国家专项计划）,
plan_41_204159_13_2022_2074_本科提前批B段,41_204159,41,204159,河北,2022,公共管理类,本科 (1),管理学 (13),公共管理类 (115),普通类,本科提前批B段,历史类,8,4,5000,（国家专项计划）（含劳动与社会保障、公共事业管理专业）,
plan_41_747_13_2022_2074_本科提前批B段,41_747,41,747,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批B段,历史类,6,4,5300,（国家专项计划）（入学后专业课教学为英语教学，非英语语种考生不宜就读）,
plan_41_762_13_2022_2074_本科提前批B段,41_762,41,762,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批B段,历史类,6,4,5300,（国家专项计划）,
plan_41_769_13_2022_2074_本科提前批B段,41_769,41,769,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科提前批B段,历史类,3,4,5000,（国家专项计划）,
plan_41_204162_14_2022_1_本科一批A1段,41_204162,41,204162,山西,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),中外合作办学,本科一批A1段,理科,2,-,25000,,
plan_41_744_14_2022_2_本科一批A段,41_744,41,744,山西,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,2,-,5000,,
plan_41_761_14_2022_2_本科一批A段,41_761,41,761,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,2,-,5000,,
plan_41_742_14_2022_1_本科一批A段,41_742,41,742,山西,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,3,-,5300,,
plan_41_745_14_2022_1_本科一批A段,41_745,41,745,山西,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科一批A段,理科,3,-,5800,,
plan_41_772_14_2022_1_本科一批A段,41_772,41,772,山西,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,3,-,5300,,
plan_41_787_14_2022_1_本科一批A段,41_787,41,787,山西,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,3,-,5800,,
plan_41_800_14_2022_1_本科一批A段,41_800,41,800,山西,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,3,-,5800,,
plan_41_750_14_2022_1_本科一批A段,41_750,41,750,山西,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,2,-,5800,,
plan_41_757_14_2022_1_本科一批A段,41_757,41,757,山西,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科一批A段,理科,2,-,5800,,
plan_41_779_14_2022_1_本科一批A段,41_779,41,779,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,2,-,5000,,
plan_41_780_14_2022_1_本科一批A段,41_780,41,780,山西,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科一批A段,理科,2,-,5500,,
plan_41_782_14_2022_1_本科一批A段,41_782,41,782,山西,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,2,-,5300,,
plan_41_783_14_2022_1_本科一批A段,41_783,41,783,山西,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,2,-,5800,,
plan_41_785_14_2022_1_本科一批A段,41_785,41,785,山西,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,-,5800,,
plan_41_792_14_2022_1_本科一批A段,41_792,41,792,山西,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,2,-,5800,,
plan_41_794_14_2022_1_本科一批A段,41_794,41,794,山西,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科一批A段,理科,2,-,5800,,
plan_41_796_14_2022_1_本科一批A段,41_796,41,796,山西,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科一批A段,理科,2,-,5800,,
plan_41_797_14_2022_1_本科一批A段,41_797,41,797,山西,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,2,-,5300,,
plan_41_799_14_2022_1_本科一批A段,41_799,41,799,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,2,-,5000,,
plan_41_100236_14_2022_1_本科一批A段,41_100236,41,100236,山西,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5800,,
plan_41_169122_14_2022_1_本科一批A段,41_169122,41,169122,山西,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5800,,
plan_41_169123_14_2022_1_本科一批A段,41_169123,41,169123,山西,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,2,-,5800,,
plan_41_1129791_14_2022_1_本科一批A段,41_1129791,41,1129791,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,-,5800,,
plan_41_1469427_14_2022_1_本科一批A段,41_1469427,41,1469427,山西,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,2,-,5800,,
plan_41_1469431_14_2022_1_本科一批A段,41_1469431,41,1469431,山西,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,2,-,5800,,
plan_41_750_15_2022_1_本科一批,41_750,41,750,内蒙古,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批,理科,3,四年,5800,（天津校区）,
plan_41_782_15_2022_1_本科一批,41_782,41,782,内蒙古,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批,理科,3,四年,5300,（天津校区）,
plan_41_801_15_2022_1_本科一批,41_801,41,801,内蒙古,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批,理科,3,四年,5800,（天津校区）,
plan_41_768_15_2022_1_本科一批,41_768,41,768,内蒙古,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,2,四年,5800,（天津校区）（要求考生有美术基础）,
plan_41_779_15_2022_1_本科一批,41_779,41,779,内蒙古,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,2,四年,5000,（天津校区）,
plan_41_780_15_2022_1_本科一批,41_780,41,780,内蒙古,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科一批,理科,2,四年,5500,（天津校区）,
plan_41_786_15_2022_1_本科一批,41_786,41,786,内蒙古,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,2,四年,5800,（天津校区）,
plan_41_794_15_2022_1_本科一批,41_794,41,794,内蒙古,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科一批,理科,2,四年,5800,（天津校区）,
plan_41_796_15_2022_1_本科一批,41_796,41,796,内蒙古,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科一批,理科,2,四年,5800,（天津校区）,
plan_41_100236_15_2022_1_本科一批,41_100236,41,100236,内蒙古,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,2,四年,5800,（天津校区）,
plan_41_1129792_15_2022_1_本科一批,41_1129792,41,1129792,内蒙古,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科一批,理科,2,四年,5800,（天津校区）,
plan_41_781_15_2022_1_本科一批,41_781,41,781,内蒙古,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,1,四年,5000,（天津校区）,
plan_41_769_15_2022_2_本科一批,41_769,41,769,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,2,四年,5000,（天津校区）,
plan_41_769_15_2022_32_本科一批,41_769,41,769,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,蒙授文科,5,四年,5000,（天津校区）,
plan_41_204159_15_2022_32_本科一批,41_204159,41,204159,内蒙古,2022,公共管理类,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批,蒙授文科,5,四年,5000,（天津校区）（包含专业：劳动与社会保障、公共事业管理）,
plan_41_762_21_2022_2074_本科批,41_762,41,762,辽宁,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5300,,
plan_41_748_21_2022_2073_本科批,41_748,41,748,辽宁,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,2,四年,5800,,
plan_41_751_21_2022_2073_本科批,41_751,41,751,辽宁,2022,海洋技术,本科 (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,2,四年,5300,,
plan_41_779_21_2022_2073_本科批,41_779,41,779,辽宁,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,2,四年,5000,,
plan_41_786_21_2022_2073_本科批,41_786,41,786,辽宁,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,5800,,
plan_41_787_21_2022_2073_本科批,41_787,41,787,辽宁,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,5800,,
plan_41_796_21_2022_2073_本科批,41_796,41,796,辽宁,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,物理类,2,四年,5800,,
plan_41_800_21_2022_2073_本科批,41_800,41,800,辽宁,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5800,,
plan_41_100236_21_2022_2073_本科批,41_100236,41,100236,辽宁,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5800,,
plan_41_762_21_2022_2073_本科批,41_762,41,762,辽宁,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,1,四年,5300,,
plan_41_781_21_2022_2073_本科批,41_781,41,781,辽宁,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,1,四年,5000,,
plan_41_794_22_2022_1_本科一批A段,41_794,41,794,吉林,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科一批A段,理科,3,-,5800,,
plan_41_800_22_2022_1_本科一批A段,41_800,41,800,吉林,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,3,-,5800,,
plan_41_745_22_2022_1_本科一批A段,41_745,41,745,吉林,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科一批A段,理科,2,-,5800,,
plan_41_748_22_2022_1_本科一批A段,41_748,41,748,吉林,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,2,-,5800,,
plan_41_779_22_2022_1_本科一批A段,41_779,41,779,吉林,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,2,-,5000,,
plan_41_780_22_2022_1_本科一批A段,41_780,41,780,吉林,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科一批A段,理科,2,-,5500,,
plan_41_791_22_2022_1_本科一批A段,41_791,41,791,吉林,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,2,-,5300,,
plan_41_797_22_2022_1_本科一批A段,41_797,41,797,吉林,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,2,-,5300,,
plan_41_100236_22_2022_1_本科一批A段,41_100236,41,100236,吉林,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5800,,
plan_41_169123_22_2022_1_本科一批A段,41_169123,41,169123,吉林,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,2,-,5800,,
plan_41_324203_22_2022_1_本科一批A段,41_324203,41,324203,吉林,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科一批A段,理科,2,-,5800,,
plan_41_782_23_2022_1_本科一批A段,41_782,41,782,黑龙江,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,4,四年,5300,,
plan_41_800_23_2022_1_本科一批A段,41_800,41,800,黑龙江,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,4,四年,5800,,
plan_41_750_23_2022_1_本科一批A段,41_750,41,750,黑龙江,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,2,四年,5800,,
plan_41_778_23_2022_1_本科一批A段,41_778,41,778,黑龙江,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,2,四年,5000,,
plan_41_780_23_2022_1_本科一批A段,41_780,41,780,黑龙江,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科一批A段,理科,2,四年,5500,,
plan_41_792_23_2022_1_本科一批A段,41_792,41,792,黑龙江,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,2,四年,5800,,
plan_41_801_23_2022_1_本科一批A段,41_801,41,801,黑龙江,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,2,四年,5800,,
plan_41_100236_23_2022_1_本科一批A段,41_100236,41,100236,黑龙江,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,四年,5800,,
plan_41_324203_23_2022_1_本科一批A段,41_324203,41,324203,黑龙江,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科一批A段,理科,2,四年,5800,,
plan_41_744_23_2022_2_本科一批A段,41_744,41,744,黑龙江,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,2,四年,5000,,
