score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_36_99061_11_2022_3_本科批,36_99061,36,99061,北京,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,576,0,0,12334,,物理必选
score_36_511_11_2022_3_本科批,36_511,36,511,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,571,0,0,13109,,物理必选
score_36_505_11_2022_3_本科批,36_505,36,505,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,570,0,0,13253,,物理必选
score_36_99061_11_2022_3_本科批,36_99061,36,99061,北京,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,576,0,0,12334,,物理必选
score_36_511_11_2022_3_本科批,36_511,36,511,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,571,0,0,13109,,物理必选
score_36_505_11_2022_3_本科批,36_505,36,505,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,570,0,0,13253,,物理必选
score_36_527_11_2022_3_本科批,36_527,36,527,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,570,0,0,13253,,不限
score_36_527_11_2022_3_本科批,36_527,36,527,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,570,0,0,13253,,不限
score_36_471_12_2022_3_本科批A段,36_471,36,471,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,637,0,0,7060,,不限
score_36_471_12_2022_3_本科批A段,36_471,36,471,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,637,0,0,7060,,不限
score_36_511_12_2022_3_本科批A段,36_511,36,511,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_36_504_12_2022_3_本科批A段,36_504,36,504,天津,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,632,0,0,7969,,物理/化学(2选1)
score_36_917828_12_2022_3_本科批A段,36_917828,36,917828,天津,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,631,0,0,8146,,物理/化学(2选1)
score_36_504_12_2022_3_本科批A段,36_504,36,504,天津,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,630,0,0,8316,,物理/化学(2选1)
score_36_505_12_2022_3_本科批A段,36_505,36,505,天津,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,628,0,0,8646,,物理必选
score_36_535_12_2022_3_本科批A段,36_535,36,535,天津,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,628,0,0,8646,,物理/化学(2选1)
score_36_1800326_12_2022_3_本科批A段,36_1800326,36,1800326,天津,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,627,0,0,8819,,物理/化学(2选1)
score_36_99074_12_2022_3_本科批A段,36_99074,36,99074,天津,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科批A段,综合,626,0,0,9010,,物理/化学(2选1)
score_36_1498363_12_2022_3_本科批A段,36_1498363,36,1498363,天津,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科批A段,综合,624,0,0,9389,,物理必选
score_36_511_12_2022_3_本科批A段,36_511,36,511,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_36_505_12_2022_3_本科批A段,36_505,36,505,天津,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,628,0,0,8646,,物理必选
score_36_1498363_12_2022_3_本科批A段,36_1498363,36,1498363,天津,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科批A段,综合,624,0,0,9389,,物理必选
score_36_504_12_2022_3_本科批A段,36_504,36,504,天津,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,632,0,0,7969,,物理/化学(2选1)
score_36_917828_12_2022_3_本科批A段,36_917828,36,917828,天津,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,631,0,0,8146,,物理/化学(2选1)
score_36_504_12_2022_3_本科批A段,36_504,36,504,天津,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,630,0,0,8316,,物理/化学(2选1)
score_36_535_12_2022_3_本科批A段,36_535,36,535,天津,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,628,0,0,8646,,物理/化学(2选1)
score_36_1800326_12_2022_3_本科批A段,36_1800326,36,1800326,天津,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,627,0,0,8819,,物理/化学(2选1)
score_36_99074_12_2022_3_本科批A段,36_99074,36,99074,天津,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科批A段,综合,626,0,0,9010,,物理/化学(2选1)
score_36_527_13_2022_2074_本科批,36_527,36,527,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,600,0,0,2130,,
score_36_531_13_2022_2074_本科批,36_531,36,531,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,598,0,0,2324,,
score_36_511_13_2022_2073_本科批,36_511,36,511,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,594,0,0,12236,,
score_36_1129695_13_2022_2073_本科批,36_1129695,36,1129695,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,594,0,0,12236,,
score_36_1129697_13_2022_2073_本科批,36_1129697,36,1129697,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,593,0,0,12676,,
score_36_535_13_2022_2073_本科批,36_535,36,535,河北,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,592,0,0,13125,,
score_36_917828_13_2022_2073_本科批,36_917828,36,917828,河北,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,592,0,0,13125,,
score_36_504_13_2022_2073_本科批,36_504,36,504,河北,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,591,0,0,13583,,
score_36_527_13_2022_2073_本科批,36_527,36,527,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,591,0,0,13583,,
score_36_505_13_2022_2073_本科批,36_505,36,505,河北,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,590,0,0,14004,,
score_36_531_13_2022_2073_本科批,36_531,36,531,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,物理类,590,0,0,14004,,
score_36_1498362_13_2022_2073_本科批,36_1498362,36,1498362,河北,2022,交通设备与控制工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,590,0,0,14004,,
score_36_1800326_13_2022_2073_本科批,36_1800326,36,1800326,河北,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,590,0,0,14004,,
score_36_99061_13_2022_2073_本科批,36_99061,36,99061,河北,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,588,0,0,14950,,
score_36_517_13_2022_2073_本科批,36_517,36,517,河北,2022,汽车服务工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,586,0,0,15960,,
score_36_472_13_2022_2073_本科批,36_472,36,472,河北,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,585,0,0,16469,,
score_36_476_13_2022_2073_本科批,36_476,36,476,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,585,0,0,16469,,
score_36_1498363_13_2022_2073_本科批,36_1498363,36,1498363,河北,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,584,0,0,17032,,
score_36_502_13_2022_2073_本科批,36_502,36,502,河北,2022,物流工程,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,583,0,0,17536,,
score_36_526_13_2022_2073_本科批,36_526,36,526,河北,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,物理类,583,0,0,17536,,
score_36_514_13_2022_2073_本科批,36_514,36,514,河北,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,581,0,0,18643,,
score_36_99074_13_2022_2073_本科批,36_99074,36,99074,河北,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科批,物理类,576,0,0,21536,,
score_36_531_14_2022_2_本科一批A段,36_531,36,531,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,559,0,559,1635,,
score_36_527_14_2022_2_本科一批A段,36_527,36,527,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,555,0,555,1931,,
score_36_504_14_2022_1_本科一批A段,36_504,36,504,山西,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,564,0,564,8845,,
score_36_511_14_2022_1_本科一批A段,36_511,36,511,山西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,564,0,564,8845,,
score_36_1129695_14_2022_1_本科一批A段,36_1129695,36,1129695,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,563,0,563,9112,,
score_36_1800326_14_2022_1_本科一批A段,36_1800326,36,1800326,山西,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,562,0,564,9389,,
score_36_1129697_14_2022_1_本科一批A段,36_1129697,36,1129697,山西,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,562,0,563,9389,,
score_36_917828_14_2022_1_本科一批A段,36_917828,36,917828,山西,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,562,0,562,9389,,
score_36_99061_14_2022_1_本科一批A段,36_99061,36,99061,山西,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,559,0,562,10221,,
score_36_505_14_2022_1_本科一批A段,36_505,36,505,山西,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,559,0,561,10221,,
score_36_1498362_14_2022_1_本科一批A段,36_1498362,36,1498362,山西,2022,交通设备与控制工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,559,0,559,10221,,
score_36_535_14_2022_1_本科一批A段,36_535,36,535,山西,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,558,0,559,10500,,
score_36_1498363_14_2022_1_本科一批A段,36_1498363,36,1498363,山西,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,557,0,558,10757,,
score_36_476_14_2022_1_本科一批A段,36_476,36,476,山西,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科一批A段,理科,555,0,557,11357,,
score_36_517_14_2022_1_本科一批A段,36_517,36,517,山西,2022,汽车服务工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,552,0,555,12262,,
score_36_472_14_2022_1_本科一批A段,36_472,36,472,山西,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批A段,理科,552,0,554,12262,,
score_36_514_14_2022_1_本科一批A段,36_514,36,514,山西,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,551,0,552,12599,,
score_36_99074_14_2022_1_本科一批A段,36_99074,36,99074,山西,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科一批A段,理科,550,0,555,12922,,
score_36_511_15_2022_1_本科一批,36_511,36,511,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,563,567,0,4020,,
score_36_505_15_2022_1_本科一批,36_505,36,505,内蒙古,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,556,559,0,4761,,
score_36_917828_15_2022_1_本科一批,36_917828,36,917828,内蒙古,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批,理科,554,561,0,4958,,
score_36_1129697_15_2022_1_本科一批,36_1129697,36,1129697,内蒙古,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,554,555,0,4958,,
score_36_535_15_2022_1_本科一批,36_535,36,535,内蒙古,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批,理科,553,560,0,5090,,
score_36_1498362_15_2022_1_本科一批,36_1498362,36,1498362,内蒙古,2022,交通设备与控制工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批,理科,550,556,0,5420,,
score_36_504_15_2022_1_本科一批,36_504,36,504,内蒙古,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批,理科,548,559,0,5647,,
score_36_99061_15_2022_1_本科一批,36_99061,36,99061,内蒙古,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批,理科,547,556,0,5755,,
score_36_1498363_15_2022_1_本科一批,36_1498363,36,1498363,内蒙古,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批,理科,526,526,0,8809,,
score_36_99074_15_2022_1_本科一批,36_99074,36,99074,内蒙古,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科一批,理科,518,560,0,10085,,
score_36_535_15_2022_1_本科提前批B段,36_535,36,535,内蒙古,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科提前批B段,理科,545,545,0,5995,（国家专项计划）,
score_36_99074_15_2022_1_本科提前批B段,36_99074,36,99074,内蒙古,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科提前批B段,理科,538,543,0,6978,（国家专项计划）,
score_36_517_15_2022_1_本科提前批B段,36_517,36,517,内蒙古,2022,汽车服务工程,本科 (1),工学 (10),机械类 (64),普通类,本科提前批B段,理科,532,537,0,7895,（国家专项计划）,
score_36_539_15_2022_1_本科提前批B段,36_539,36,539,内蒙古,2022,土地整治工程,本科 (1),工学 (10),农业工程类 (85),普通类,本科提前批B段,理科,532,532,0,7895,（国家专项计划）,
score_36_471_15_2022_2_本科一批,36_471,36,471,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,550,555,0,939,,
score_36_527_15_2022_2_本科一批,36_527,36,527,内蒙古,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,519,519,0,2400,,
score_36_505_21_2022_2073_本科批,36_505,36,505,辽宁,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,603,0,0,8737,,
score_36_511_21_2022_2073_本科批,36_511,36,511,辽宁,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,603,0,0,8737,,
score_36_99061_21_2022_2073_本科批,36_99061,36,99061,辽宁,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,599,0,0,9671,,
score_36_504_21_2022_2073_本科批,36_504,36,504,辽宁,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,598,0,0,9934,,
score_36_917828_21_2022_2073_本科批,36_917828,36,917828,辽宁,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,598,0,0,9934,,
score_36_1800326_21_2022_2073_本科批,36_1800326,36,1800326,辽宁,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,597,0,0,10190,,
score_36_535_21_2022_2073_本科批,36_535,36,535,辽宁,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,596,0,0,10465,,
score_36_1498362_21_2022_2073_本科批,36_1498362,36,1498362,辽宁,2022,交通设备与控制工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,594,0,0,11008,,
score_36_502_21_2022_2073_本科批,36_502,36,502,辽宁,2022,物流工程,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,580,0,0,14997,,
score_36_511_22_2022_1_本科一批A段,36_511,36,511,吉林,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,551,554,553,7021,,
score_36_504_22_2022_1_本科一批A段,36_504,36,504,吉林,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,551,552,552,7021,,
score_36_917828_22_2022_1_本科一批A段,36_917828,36,917828,吉林,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,551,551,551,7021,,
score_36_1498362_22_2022_1_本科一批A段,36_1498362,36,1498362,吉林,2022,交通设备与控制工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,548,550,549,7481,,
score_36_505_22_2022_1_本科一批A段,36_505,36,505,吉林,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,547,553,550,7640,,
score_36_535_22_2022_1_本科一批A段,36_535,36,535,吉林,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,546,549,548,7797,,
score_36_1800326_22_2022_1_本科一批A段,36_1800326,36,1800326,吉林,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,546,548,547,7797,,
score_36_99061_22_2022_1_本科一批A段,36_99061,36,99061,吉林,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,537,559,547,9354,,
score_36_472_22_2022_1_本科一批A段,36_472,36,472,吉林,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批A段,理科,536,536,536,9514,,
score_36_539_22_2022_1_本科一批A段,36_539,36,539,吉林,2022,土地整治工程,本科 (1),工学 (10),农业工程类 (85),普通类,本科一批A段,理科,535,539,537,9678,,
score_36_471_22_2022_2_本科一批A段,36_471,36,471,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,540,543,542,1637,,
score_36_527_22_2022_2_本科一批A段,36_527,36,527,吉林,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,537,538,538,1816,,
score_36_511_23_2022_1_本科一批A段,36_511,36,511,黑龙江,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,548,557,0,6589,,
score_36_504_23_2022_1_本科一批A段,36_504,36,504,黑龙江,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,547,547,0,6756,,
score_36_505_23_2022_1_本科一批A段,36_505,36,505,黑龙江,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,545,545,0,7042,,
score_36_1800326_23_2022_1_本科一批A段,36_1800326,36,1800326,黑龙江,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,545,545,0,7042,,
score_36_535_23_2022_1_本科一批A段,36_535,36,535,黑龙江,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,542,543,0,7509,,
score_36_1498362_23_2022_1_本科一批A段,36_1498362,36,1498362,黑龙江,2022,交通设备与控制工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,542,543,0,7509,,
score_36_99061_23_2022_1_本科一批A段,36_99061,36,99061,黑龙江,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,540,547,0,7869,,
score_36_476_23_2022_1_本科一批A段,36_476,36,476,黑龙江,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科一批A段,理科,539,539,0,8038,,
score_36_502_23_2022_1_本科一批A段,36_502,36,502,黑龙江,2022,物流工程,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批A段,理科,534,535,0,8901,,
score_36_1498363_23_2022_1_本科一批A段,36_1498363,36,1498363,黑龙江,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,533,533,0,9066,,
score_36_511_31_2022_3_本科批,36_511,36,511,上海,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,527,0,529,11799,,物理必选
score_36_99061_31_2022_3_本科批,36_99061,36,99061,上海,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,527,0,528,11799,,物理必选
score_36_511_31_2022_3_本科批,36_511,36,511,上海,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,527,0,529,11799,,物理必选
score_36_99061_31_2022_3_本科批,36_99061,36,99061,上海,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,527,0,528,11799,,物理必选
score_36_471_32_2022_2074_本科批,36_471,36,471,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,570,570,0,5382,（在渭水校区学习）,首选历史，再选不限
score_36_527_32_2022_2074_本科批,36_527,36,527,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,568,568,0,5832,（在渭水校区学习）,首选历史，再选不限
score_36_471_32_2022_2074_本科批,36_471,36,471,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,570,570,0,5382,（在渭水校区学习）,首选历史，再选不限
score_36_527_32_2022_2074_本科批,36_527,36,527,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,568,568,0,5832,（在渭水校区学习）,首选历史，再选不限
score_36_511_32_2022_2073_本科批,36_511,36,511,江苏,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,586,587,0,22803,（在渭水校区学习）,首选物理，再选不限
score_36_1129695_32_2022_2073_本科批,36_1129695,36,1129695,江苏,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,586,590,0,22803,（在渭水校区学习）,首选物理，再选不限
score_36_1800326_32_2022_2073_本科批,36_1800326,36,1800326,江苏,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,586,586,0,22803,（在渭水校区学习）,首选物理，再选不限
score_36_476_32_2022_2073_本科批,36_476,36,476,江苏,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,585,586,0,23517,（在渭水校区学习）,首选物理，再选不限
score_36_471_32_2022_2073_本科批,36_471,36,471,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,584,584,0,24286,（在渭水校区学习）,首选物理，再选不限
score_36_472_32_2022_2073_本科批,36_472,36,472,江苏,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,583,585,0,24972,（在渭水校区学习）,首选物理，再选不限
score_36_527_32_2022_2073_本科批,36_527,36,527,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,583,583,0,24972,（在渭水校区学习）,首选物理，再选不限
score_36_1498363_32_2022_2073_本科批,36_1498363,36,1498363,江苏,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,583,583,0,24972,（在渭水校区学习）,首选物理，再选不限
score_36_511_32_2022_2073_本科批,36_511,36,511,江苏,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,586,587,0,22803,（在渭水校区学习）,首选物理，再选不限
score_36_1129695_32_2022_2073_本科批,36_1129695,36,1129695,江苏,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,586,590,0,22803,（在渭水校区学习）,首选物理，再选不限
score_36_1800326_32_2022_2073_本科批,36_1800326,36,1800326,江苏,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,586,586,0,22803,（在渭水校区学习）,首选物理，再选不限
score_36_476_32_2022_2073_本科批,36_476,36,476,江苏,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,585,586,0,23517,（在渭水校区学习）,首选物理，再选不限
score_36_471_32_2022_2073_本科批,36_471,36,471,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,584,584,0,24286,（在渭水校区学习）,首选物理，再选不限
score_36_472_32_2022_2073_本科批,36_472,36,472,江苏,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,583,585,0,24972,（在渭水校区学习）,首选物理，再选不限
score_36_505_32_2022_2073_本科批,36_505,36,505,江苏,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,583,589,0,24972,（在渭水校区学习）,首选物理，再选化学
score_36_527_32_2022_2073_本科批,36_527,36,527,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,583,583,0,24972,（在渭水校区学习）,首选物理，再选不限
score_36_1498363_32_2022_2073_本科批,36_1498363,36,1498363,江苏,2022,城市地下空间工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,583,583,0,24972,（在渭水校区学习）,首选物理，再选不限
score_36_504_32_2022_2073_本科批,36_504,36,504,江苏,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,582,587,0,25742,（在渭水校区学习）,首选物理，再选化学
score_36_99061_32_2022_2073_本科批,36_99061,36,99061,江苏,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,582,586,0,25742,（在渭水校区学习）,首选物理，再选化学
score_36_535_32_2022_2073_本科批,36_535,36,535,江苏,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,581,588,0,26506,（在渭水校区学习）,首选物理，再选化学
score_36_917828_32_2022_2073_本科批,36_917828,36,917828,江苏,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,581,583,0,26506,（在渭水校区学习）,首选物理，再选化学
score_36_1498362_32_2022_2073_本科批,36_1498362,36,1498362,江苏,2022,交通设备与控制工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,580,581,0,27305,（在渭水校区学习）,首选物理，再选化学
score_36_502_32_2022_2073_本科批,36_502,36,502,江苏,2022,物流工程,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,579,580,0,28088,（在渭水校区学习）,首选物理，再选化学
score_36_505_32_2022_2073_本科批,36_505,36,505,江苏,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,583,589,0,24972,（在渭水校区学习）,首选物理，再选化学
score_36_504_32_2022_2073_本科批,36_504,36,504,江苏,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,582,587,0,25742,（在渭水校区学习）,首选物理，再选化学
score_36_99061_32_2022_2073_本科批,36_99061,36,99061,江苏,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,582,586,0,25742,（在渭水校区学习）,首选物理，再选化学
score_36_535_32_2022_2073_本科批,36_535,36,535,江苏,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,581,588,0,26506,（在渭水校区学习）,首选物理，再选化学
